// 下（2行目）にキーフレーム総数を書く
843
// 下（5行目）から頭部回転角度を書き始める
//  キーフレーム時間[ms] x方向 y方向 z方向s
20 0.01 0.01 0
40 0.02 0.01 0.01
60 0.03 0.02 0.01
80 0.04 0.02 0.01
100 0.05 0.03 0.01
120 0.06 0.03 0.02
140 0.07 0.04 0.02
160 0.08 0.04 0.02
180 0.09 0.05 0.03
200 0.1 0.05 0.03
220 0.11 0.06 0.03
240 0.12 0.06 0.03
260 0.13 0.07 0.04
280 0.14 0.07 0.04
300 0.15 0.08 0.04
320 0.16 0.08 0.05
340 0.17 0.09 0.05
360 0.18 0.09 0.05
380 0.19 0.1 0.05
400 0.2 0.1 0.06
420 0.22 0.11 0.06
440 0.23 0.11 0.06
460 0.24 0.12 0.07
480 0.25 0.12 0.07
500 0.26 0.13 0.07
520 0.27 0.13 0.07
540 0.28 0.14 0.08
560 0.29 0.14 0.08
580 0.3 0.15 0.08
600 0.31 0.15 0.08
620 0.32 0.16 0.09
640 0.33 0.16 0.09
660 0.34 0.17 0.09
680 0.35 0.17 0.1
700 0.36 0.18 0.1
720 0.37 0.18 0.1
740 0.38 0.19 0.1
760 0.39 0.19 0.11
780 0.4 0.2 0.11
800 0.41 0.2 0.11
820 0.42 0.21 0.12
840 0.43 0.21 0.12
860 0.44 0.22 0.12
880 0.45 0.22 0.12
900 0.46 0.23 0.13
920 0.47 0.23 0.13
940 0.48 0.24 0.13
960 0.49 0.24 0.14
980 0.5 0.25 0.14
1000 0.51 0.25 0.14
1020 0.52 0.26 0.14
1040 0.53 0.26 0.15
1060 0.54 0.27 0.15
1080 0.55 0.27 0.15
1100 0.56 0.28 0.16
1120 0.57 0.28 0.16
1140 0.58 0.29 0.16
1160 0.59 0.29 0.16
1180 0.6 0.3 0.17
1200 0.61 0.3 0.17
1220 0.62 0.31 0.17
1240 0.63 0.31 0.18
1260 0.65 0.32 0.18
1280 0.66 0.32 0.18
1300 0.67 0.33 0.18
1320 0.68 0.33 0.19
1340 0.69 0.34 0.19
1360 0.7 0.34 0.19
1380 0.71 0.35 0.2
1400 0.72 0.35 0.2
1420 0.73 0.36 0.2
1440 0.74 0.36 0.2
1460 0.75 0.37 0.21
1480 0.76 0.37 0.21
1500 0.77 0.38 0.21
1520 0.78 0.38 0.22
1540 0.79 0.39 0.22
1560 0.8 0.39 0.22
1580 0.81 0.4 0.22
1600 0.82 0.4 0.23
1620 0.83 0.41 0.23
1640 0.84 0.41 0.23
1660 0.85 0.42 0.24
1680 0.86 0.42 0.24
1700 0.87 0.43 0.24
1720 0.88 0.43 0.24
1740 0.89 0.44 0.25
1760 0.9 0.44 0.25
1780 0.91 0.45 0.25
1800 0.92 0.45 0.25
1820 0.93 0.46 0.26
1840 0.94 0.46 0.26
1860 0.95 0.47 0.26
1880 0.96 0.47 0.27
1900 0.97 0.48 0.27
1920 0.98 0.48 0.27
1940 0.99 0.49 0.27
1960 1 0.49 0.28
1980 1.01 0.5 0.28
2000 1.02 0.5 0.28
2020 1.03 0.51 0.29
2040 1.04 0.51 0.29
2060 1.05 0.52 0.29
2080 1.06 0.52 0.29
2100 1.08 0.53 0.3
2120 1.09 0.53 0.3
2140 1.1 0.54 0.3
2160 1.11 0.54 0.31
2180 1.12 0.55 0.31
2200 1.13 0.55 0.31
2220 1.14 0.56 0.31
2240 1.15 0.56 0.32
2260 1.16 0.57 0.32
2280 1.17 0.57 0.32
2300 1.18 0.58 0.33
2320 1.19 0.58 0.33
2340 1.2 0.59 0.33
2360 1.21 0.59 0.33
2380 1.22 0.6 0.34
2400 1.23 0.6 0.34
2420 1.24 0.61 0.34
2440 1.25 0.61 0.35
2460 1.26 0.62 0.35
2480 1.27 0.62 0.35
2500 1.28 0.63 0.35
2520 1.29 0.63 0.36
2540 1.3 0.64 0.36
2560 1.31 0.64 0.36
2580 1.32 0.65 0.37
2600 1.33 0.65 0.37
2620 1.34 0.66 0.37
2640 1.35 0.66 0.37
2660 1.36 0.67 0.38
2680 1.37 0.67 0.38
2700 1.38 0.68 0.38
2720 1.39 0.68 0.39
2740 1.4 0.69 0.39
2760 1.41 0.69 0.39
2780 1.42 0.7 0.39
2800 1.43 0.7 0.4
2820 1.44 0.71 0.4
2840 1.45 0.71 0.4
2860 1.46 0.72 0.4
2880 1.47 0.72 0.41
2900 1.48 0.73 0.41
2920 1.49 0.73 0.41
2940 1.51 0.74 0.42
2960 1.52 0.74 0.42
2980 1.53 0.75 0.42
3000 1.54 0.75 0.42
3020 1.55 0.76 0.43
3040 1.53 0.75 0.42
3060 1.5 0.74 0.42
3080 1.48 0.72 0.42
3100 1.46 0.71 0.42
3120 1.44 0.7 0.41
3140 1.42 0.69 0.41
3160 1.4 0.68 0.41
3180 1.38 0.67 0.4
3200 1.36 0.66 0.4
3220 1.34 0.65 0.4
3240 1.32 0.64 0.39
3260 1.3 0.63 0.39
3280 1.28 0.62 0.39
3300 1.26 0.61 0.38
3320 1.24 0.6 0.38
3340 1.22 0.59 0.38
3360 1.2 0.58 0.37
3380 1.17 0.56 0.37
3400 1.15 0.55 0.37
3420 1.13 0.54 0.36
3440 1.11 0.53 0.36
3460 1.09 0.52 0.36
3480 1.07 0.51 0.36
3500 1.05 0.5 0.35
3520 1.03 0.49 0.35
3540 1.01 0.48 0.35
3560 0.99 0.47 0.34
3580 0.97 0.46 0.34
3600 0.95 0.45 0.34
3620 0.93 0.44 0.33
3640 0.91 0.43 0.33
3660 0.89 0.42 0.33
3680 0.87 0.41 0.32
3700 0.84 0.39 0.32
3720 0.82 0.38 0.32
3740 0.8 0.37 0.31
3760 0.78 0.36 0.31
3780 0.76 0.35 0.31
3800 0.74 0.34 0.3
3820 0.72 0.33 0.3
3840 0.7 0.32 0.3
3860 0.68 0.31 0.3
3880 0.66 0.3 0.29
3900 0.64 0.29 0.29
3920 0.62 0.28 0.29
3940 0.6 0.27 0.28
3960 0.58 0.26 0.28
3980 0.56 0.25 0.28
4000 0.54 0.24 0.27
4020 0.51 0.22 0.27
4040 0.49 0.21 0.27
4060 0.47 0.2 0.26
4080 0.45 0.19 0.26
4100 0.43 0.18 0.26
4120 0.41 0.17 0.25
4140 0.39 0.16 0.25
4160 0.37 0.15 0.25
4180 0.35 0.14 0.24
4200 0.33 0.13 0.24
4220 0.31 0.12 0.24
4240 0.29 0.11 0.24
4260 0.27 0.1 0.23
4280 0.25 0.09 0.23
4300 0.23 0.08 0.23
4320 0.21 0.07 0.22
4340 0.18 0.05 0.22
4360 0.16 0.04 0.22
4380 0.14 0.03 0.21
4400 0.12 0.02 0.21
4420 0.1 0.01 0.21
4440 0.08 0 0.2
4460 0.06 -0.01 0.2
4480 0.04 -0.02 0.2
4500 0.02 -0.03 0.19
4520 0 -0.04 0.19
4540 -0.02 -0.05 0.19
4560 -0.04 -0.06 0.18
4580 -0.06 -0.07 0.18
4600 -0.08 -0.08 0.18
4620 -0.1 -0.09 0.18
4640 -0.12 -0.1 0.17
4660 -0.15 -0.12 0.17
4680 -0.17 -0.13 0.17
4700 -0.19 -0.14 0.16
4720 -0.21 -0.15 0.16
4740 -0.23 -0.16 0.16
4760 -0.25 -0.17 0.15
4780 -0.27 -0.18 0.15
4800 -0.29 -0.19 0.15
4820 -0.31 -0.2 0.14
4840 -0.33 -0.21 0.14
4860 -0.35 -0.22 0.14
4880 -0.37 -0.23 0.13
4900 -0.39 -0.24 0.13
4920 -0.41 -0.25 0.13
4940 -0.43 -0.26 0.12
4960 -0.45 -0.27 0.12
4980 -0.48 -0.29 0.12
5000 -0.5 -0.3 0.12
5020 -0.52 -0.31 0.11
5040 -0.54 -0.32 0.11
5060 -0.56 -0.33 0.11
5080 -0.58 -0.34 0.1
5100 -0.6 -0.35 0.1
5120 -0.62 -0.36 0.1
5140 -0.64 -0.37 0.09
5160 -0.66 -0.38 0.09
5180 -0.68 -0.39 0.09
5200 -0.7 -0.4 0.08
5220 -0.72 -0.41 0.08
5240 -0.74 -0.42 0.08
5260 -0.76 -0.43 0.07
5280 -0.78 -0.44 0.07
5300 -0.81 -0.46 0.07
5320 -0.83 -0.47 0.06
5340 -0.85 -0.48 0.06
5360 -0.87 -0.49 0.06
5380 -0.89 -0.5 0.06
5400 -0.91 -0.51 0.05
5420 -0.93 -0.52 0.05
5440 -0.95 -0.53 0.05
5460 -0.97 -0.54 0.04
5480 -0.99 -0.55 0.04
5500 -1.01 -0.56 0.04
5520 -1.03 -0.57 0.03
5540 -1.05 -0.58 0.03
5560 -1.07 -0.59 0.03
5580 -1.09 -0.6 0.02
5600 -1.11 -0.61 0.02
5620 -1.14 -0.63 0.02
5640 -1.16 -0.64 0.01
5660 -1.18 -0.65 0.01
5680 -1.2 -0.66 0.01
5700 -1.22 -0.67 0.01
5720 -1.24 -0.68 0
5740 -1.26 -0.69 0
5760 -1.28 -0.7 0
5780 -1.3 -0.71 -0.01
5800 -1.32 -0.72 -0.01
5820 -1.34 -0.73 -0.01
5840 -1.36 -0.74 -0.02
5860 -1.38 -0.75 -0.02
5880 -1.4 -0.76 -0.02
5900 -1.42 -0.77 -0.03
5920 -1.44 -0.78 -0.03
5940 -1.47 -0.8 -0.03
5960 -1.49 -0.81 -0.04
5980 -1.51 -0.82 -0.04
6000 -1.53 -0.83 -0.04
6020 -1.55 -0.84 -0.05
6040 -1.57 -0.85 -0.05
6060 -1.55 -0.84 -0.05
6080 -1.54 -0.84 -0.04
6100 -1.52 -0.83 -0.04
6120 -1.5 -0.82 -0.04
6140 -1.49 -0.82 -0.03
6160 -1.47 -0.81 -0.03
6180 -1.46 -0.81 -0.03
6200 -1.44 -0.8 -0.02
6220 -1.43 -0.79 -0.02
6240 -1.41 -0.79 -0.02
6260 -1.39 -0.78 -0.01
6280 -1.38 -0.78 -0.01
6300 -1.36 -0.77 -0.01
6320 -1.35 -0.76 0
6340 -1.33 -0.76 0
6360 -1.31 -0.75 0
6380 -1.3 -0.75 0.01
6400 -1.28 -0.74 0.01
6420 -1.27 -0.73 0.01
6440 -1.25 -0.73 0.02
6460 -1.23 -0.72 0.02
6480 -1.22 -0.71 0.02
6500 -1.2 -0.71 0.02
6520 -1.19 -0.7 0.03
6540 -1.17 -0.7 0.03
6560 -1.16 -0.69 0.03
6580 -1.14 -0.68 0.04
6600 -1.12 -0.68 0.04
6620 -1.11 -0.67 0.04
6640 -1.09 -0.67 0.05
6660 -1.08 -0.66 0.05
6680 -1.06 -0.65 0.05
6700 -1.04 -0.65 0.06
6720 -1.03 -0.64 0.06
6740 -1.01 -0.64 0.06
6760 -1 -0.63 0.07
6780 -0.98 -0.62 0.07
6800 -0.96 -0.62 0.07
6820 -0.95 -0.61 0.08
6840 -0.93 -0.6 0.08
6860 -0.92 -0.6 0.08
6880 -0.9 -0.59 0.09
6900 -0.89 -0.59 0.09
6920 -0.87 -0.58 0.09
6940 -0.85 -0.57 0.09
6960 -0.84 -0.57 0.1
6980 -0.82 -0.56 0.1
7000 -0.81 -0.56 0.1
7020 -0.79 -0.55 0.11
7040 -0.77 -0.54 0.11
7060 -0.76 -0.54 0.11
7080 -0.74 -0.53 0.12
7100 -0.73 -0.53 0.12
7120 -0.71 -0.52 0.12
